library_aliquot_local_name,library_package_local_name,library_pool_local_name,library_pool_local_tube_id,library_pool_tube_barcode,library_pool_preparation_date,library_local_name,library_technique,library_r1_r2_index,library_preparation_date,library_source_type,library_avg_size_bp,library_concentration_nm,library_input_ng,library_prep_pass_fail,library_prep_set,library_quantification_fmol,library_quantification_ng,amplified_cdna_local_name,amplified_cdna_preparation_date,amplified_cdna_amplified_quantity_ng,amplified_cdna_pcr_cycles,amplified_cdna_rna_amplification_pass_fail,amplified_cdna_percent_cdna_longer_than_400bp,cdna_amplification_set,barcoded_cell_sample_local_name,barcoded_cell_sample_tag_local_name,barcoded_cell_sample_tag_description,barcoded_cell_sample_number_of_expected_cells,barcoded_cell_sample_port_well,barcoded_cell_input_quantity_count,barcoded_cell_sample_technique,enriched_cell_sample_local_name,enriched_cell_sample_preparation_date,enrichment_population,dissociated_cell_sample_local_name,dissociated_cell_sample_cell_label_barcode,dissociated_cell_sample_cell_prep_type,tissue_sample_local_name,tissue_structure,species,project_identifier,roi_id,other_species,roi_local_name,donor_local_name,age_at_death_value,age_at_death_unit,age_at_death_reference_point,age_at_death_description,donor_species,biological_sex,Species common,ROI abbrv,BCS Tag updated in Portal,Package Date,Date in Portal,Portal comments,BG_Paper_241204,NeMO Bucket,NeMO Submission ID,NeMO upload date,NeMO alignment comments,NeMO alignment date (by aliquot),NeMO alignment version,NeMO alignment jobID,NeMO alignment status,Pool_NeMOsubID
NY-AT16082-5,NYGC_240806_shipment,ATX-16082,NY-AT16082,A4536376,8/6/2024,L8XA_240730_01_D04,10xMultiome;ATAC,SI-NA-D4,7/30/2024,amplified_cdna,771,187.0324263,0,Pass,L8XA_240730_01,3740.648526,1903.466409,B8XM_240705_01_H01,7/5/2024,nan,None,Pass,nan,B8XM_240705_01,2309_A05,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,A05,15941,Multiome,"M1XM_240703_211-A_A01
M1XM_240703_211-R_A01",7/3/2024,"50% NeuN+, 35% OLIG2-, 15% OLIG2+",20240703_H24.30.003.CX.18.GPe.01.Multiome,None,Nuclei,H24.30.003.CX.18.GPe.01_GPe,DHBA:10343,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H24.30.003.CX.18.GPe.01,H24.30.003,19,years,birth,19 yrs,NCBITaxon:9606,Female,Human,GPe,,8/6/2024,8/8/2024,index clash reseq,BG_paper_Human,nemo-tmp-nfb6uxq-atx-16082,nfb6uxq,9/5/2024,10X genomics multiome;atac-seq,1/0/1900,1/0/1900,JobIdGAF47VFS,x not aligned,ATX-16082_nfb6uxq
NY-AT16042-5,NYGC_240227_shipment,ATX-16042,NY-AT16042,A4541975,2/27/2024,L8XA_240220_01_G02,10xMultiome;ATAC,SI-NA-G2,2/20/2024,amplified_cdna,819,169.5974653,0,Pass,L8XA_240220_01,3391.949306,1833.484278,B8XM_240220_01_B03,2/20/2024,nan,nan,Pass,nan,B8XM_240220_01,2077_A02,HMBA_Macaque_Atlas|HMBA_Macaque_Atlas_BN_BF,"Macaque whole brain multiome samples. HMBA Aim 1.
HMBA macaque basal nuclei and basal forebrain ROIs",10000,A02,15884,Multiome,"M1XM_240219_226-A_A01
M1XM_240219_226-R_A01",2/19/2024,"50% NeuN+, 35% OLIG2-, 15% OLIG2+",20240219_QM23.50.003.CX.08.PuC.01.Multiome,nan,Nuclei,QM23.50.003.CX.08.PuC.01_PuC,DHBA:11538,NCBITaxon:9544,UM1MH130981 - Ed Lein,,1,nan,QM23.50.003,6,years,birth,6 yrs,NCBITaxon:9544,Male,Macaque,PuC,3/19/2024,2/27/2024,2/27/2024,,BG_paper_Macaque,nemo-tmp-n3x2fu5-atx-16042,n3x2fu5,3/16/2024,10X genomics multiome;atac-seq,1/0/1900,1/0/1900,JobIdAFFNME7F,x not aligned,ATX-16042_n3x2fu5
NY-MX12042-5,NYGC_240227_shipment,MTX-12042,NY-MX12042,K0160018,2/27/2024,L8XR_240222_21_H03,10xMultiome;GEX,SI-TT-H3,2/22/2024,amplified_cdna,446,62.16005277,594.3163858,Pass,L8XR_240222_21,2175.601847,640.4101597,A8XR_240220_01_B02,2/20/2024,594,10,Pass,1,A8XR_240220_01,2077_A02,HMBA_Macaque_Atlas|HMBA_Macaque_Atlas_BN_BF,"Macaque whole brain multiome samples. HMBA Aim 1.
HMBA macaque basal nuclei and basal forebrain ROIs",10000,A02,15884,Multiome,"M1XM_240219_226-A_A01
M1XM_240219_226-R_A01",2/19/2024,"50% NeuN+, 35% OLIG2-, 15% OLIG2+",20240219_QM23.50.003.CX.08.PuC.01.Multiome,nan,Nuclei,QM23.50.003.CX.08.PuC.01_PuC,DHBA:11538,NCBITaxon:9544,UM1MH130981 - Ed Lein,,1,nan,QM23.50.003,6,years,birth,6 yrs,NCBITaxon:9544,Male,Macaque,PuC,3/19/2024,2/27/2024,2/27/2024,,BG_paper_Macaque,nemo-tmp-8yehpfy-mtx-12042,8yehpfy,5/4/2024,10X genomics multiome;rnaseq,1/0/1900,1/0/1900,JobIdAFFNME7F,x not aligned,MTX-12042_8yehpfy
NW_MX2080-7,AIBS-Proxy_240930_PreHMBA-backfill,MTX-2080_240930,NW_MX2080,NW_MX2080,5/3/2022,L8XR_220428_02_A05,10xMultiome;GEX,SI-TT-A5,4/28/2022,amplified_cdna,465,269.8869524,56.06901704,Pass,L8XR_220428_02,9446.043333,2898.990699,A8XR_220426_01_A02,4/26/2022,56,10,Pass,1.041,A8XR_220426_01,1224_A04,"NHP_BG_Circuit
NHP_BG_Core_ROI","All Basal ganglia circuit regions in non-human primates, multiome
Core basal ganglia regions for basal ganglia circuit project, NHP, multiome.",5357,A04,8625,Multiome,"M1XM_220421_151-R_A01
M1XM_220421_151-A_A01",4/21/2022,"10% NeuN+, 49% OLIG2-, 25% OLIG2+, 16% Nurr1+",Q21.26.001.CX44.SN.001_20220421,nan,Nuclei,Q21.26.001.CX44.SN.001_Macaque-SN-VTA,DHBA:12261,NCBITaxon:9544,UM1MH130981 - Ed Lein,nan,1,nan,QM21.26.001,6,years,birth,6 yrs,NCBITaxon:9544,Male,Macaque,SN-VTA,,9/30/2024,9/26/2024,complete thru aliquot qc,BG_paper_Macaque,nemo-tmp-32y3dpt-mtx-2080_240930,32y3dpt,11/12/2024,32y3dpt,2025-01-16T18:43:09Z,5.9.3,0,aligned,MTX-2080_240930_32y3dpt
NW_MX2080-2,AIBS-Proxy_240930_PreHMBA-backfill,MTX-2080_240930,NW_MX2080,NW_MX2080,5/3/2022,L8XR_220428_02_C04,10xMultiome;GEX,SI-TT-C4,4/28/2022,amplified_cdna,483,91.427895,562.8861836,Pass,L8XR_220428_02,3199.976325,1020.088453,A8XR_220426_01_A01,4/26/2022,563,9,Pass,0.99,A8XR_220426_01,1222_A02,"NHP_BG_Circuit
NHP_BG_Core_ROI","All Basal ganglia circuit regions in non-human primates, multiome
Core basal ganglia regions for basal ganglia circuit project, NHP, multiome.",9705,A02,15625,Multiome,"M1XM_220420_151-R_A01
M1XM_220420_151-A_A01",4/20/2022,"60% NeuN+, 27% OLIG2-, 13% OLIG2+",Q19.26.010.CX42.STH.001_20220420,nan,Nuclei,Q19.26.010.CX42.STH.001_Macaque-STH,DHBA:10466,NCBITaxon:9544,UM1MH130981 - Ed Lein,nan,1,nan,Q19.26.010,10,years,birth,10 yrs,NCBITaxon:9544,Female,Macaque,STH,,9/30/2024,9/26/2024,complete thru aliquot qc,BG_paper_Macaque,nemo-tmp-32y3dpt-mtx-2080_240930,32y3dpt,11/12/2024,32y3dpt,2025-01-18T03:29:05Z,5.9.3,0,aligned,MTX-2080_240930_32y3dpt
NY-AT16076-6,NYGC_240716_shipment,ATX-16076,NY-AT16076,K0160505,7/16/2024,L8XA_240702_01_A04,10xMultiome;ATAC,SI-NA-A4,7/2/2024,amplified_cdna,554,370.5469235,0,Pass,L8XA_240702_01,7410.93847,2709.735542,B8XM_240702_01_G01,7/2/2024,nan,None,Pass,nan,B8XM_240702_01,2305_E01,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,E01,15903,Multiome,"M2XM_240701_226-R_E01
M2XM_240701_226-A_E01",7/1/2024,"50% NeuN+, 35% OLIG2-, 15% OLIG2+",20240701_H24.30.003.CX.14.PuR.01.Multiome,None,Nuclei,H24.30.003.CX.14.PuR.01_PuR,DHBA:11537,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H24.30.003.CX.14.PuR.01,H24.30.003,19,years,birth,19 yrs,NCBITaxon:9606,Female,Human,PuR,,7/16/2024,7/15/2024,,BG_paper_Human,nemo-tmp-p5566zg-atx-16076,p5566zg,8/14/2024,10X genomics multiome;atac-seq,2025-01-10T01:39:31Z,0,JobId03PZI0U4,aligned,ATX-16076_p5566zg
NY-MX12076-6,NYGC_240716_shipment,MTX-12076,NY-MX12076,A4536387,7/16/2024,L8XR_240705_01_A06,10xMultiome;GEX,SI-TT-A6,7/5/2024,amplified_cdna,481,191.633347,251.7714111,Pass,L8XR_240705_01,6707.167145,2129.257282,A8XR_240702_01_E01,7/2/2024,252,10,Pass,0.986,A8XR_240702_01,2305_E01,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,E01,15903,Multiome,"M2XM_240701_226-R_E01
M2XM_240701_226-A_E01",7/1/2024,"50% NeuN+, 35% OLIG2-, 15% OLIG2+",20240701_H24.30.003.CX.14.PuR.01.Multiome,None,Nuclei,H24.30.003.CX.14.PuR.01_PuR,DHBA:11537,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H24.30.003.CX.14.PuR.01,H24.30.003,19,years,birth,19 yrs,NCBITaxon:9606,Female,Human,PuR,,7/16/2024,7/15/2024,,BG_paper_Human,nemo-tmp-b3zzxsa-mtx-12076,b3zzxsa,8/15/2024,10X genomics multiome;rnaseq,2025-01-10T01:39:31Z,0,JobId03PZI0U4,aligned,MTX-12076_b3zzxsa
NY-MX22008-12,NYGC_241001_shipment,MTX-22008,NY-MX22008,A1658769,10/1/2024,L8XR_240919_21_B05,10xMultiome;GEX,SI-TT-B5,9/19/2024,amplified_cdna,460,232.4565505,108.3255418,Pass,L8XR_240919_21,8135.979267,2470.083305,A8XR_240917_01_B02,9/17/2024,108,9,Pass,1.013,A8XR_240917_01,2453_A02,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,A02,15849,Multiome,"M1XM_240916_231-A_A01
M1XM_240916_231-R_A01",9/16/2024,"70% NeuN+, 20% OLIG2-, 10% OLIG2+",20240916_H21.30.004.CX.18.VEP.01.Multiome,None,Nuclei,H21.30.004.CX.18.VEP.01_VeP,DHBA:10345,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H21.30.004.CX.18.VEP.01,H21.30.004,57,years,birth,57 yrs,NCBITaxon:9606,Male,Human,VeP,,10/1/2024,9/30/2024,,BG_paper_Human,nemo-tmp-n87bfqz-mtx-22008,n87bfqz,10/19/2024,10X genomics multiome;rnaseq,2025-01-14T03:54:40Z,5.9.3,JobId0PFK7T1M,aligned,MTX-22008_n87bfqz
NY-AT26008-12,NYGC_241001_shipment,ATX-26008,NY-AT26008,A4556285,10/1/2024,L8XA_240917_01_H04,10xMultiome;ATAC,SI-NA-H4,9/17/2024,amplified_cdna,788,67.18700728,0,Pass,L8XA_240917_01,1343.740146,698.8523749,B8XM_240917_01_D02,9/17/2024,nan,None,Pass,nan,B8XM_240917_01,2453_A02,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,A02,15849,Multiome,"M1XM_240916_231-A_A01
M1XM_240916_231-R_A01",9/16/2024,"70% NeuN+, 20% OLIG2-, 10% OLIG2+",20240916_H21.30.004.CX.18.VEP.01.Multiome,None,Nuclei,H21.30.004.CX.18.VEP.01_VeP,DHBA:10345,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H21.30.004.CX.18.VEP.01,H21.30.004,57,years,birth,57 yrs,NCBITaxon:9606,Male,Human,VeP,,10/1/2024,9/30/2024,,BG_paper_Human,nemo-tmp-gtboafk-atx-26008,gtboafk,10/21/2024,10X genomics multiome;atac-seq,2025-01-14T03:54:40Z,5.9.3,JobId0PFK7T1M,aligned,ATX-26008_gtboafk
NW_MX2063-9,AIBS-Proxy_240930_PreHMBA-backfill,MTX-2063_240930,NW_MX2063,NW_MX2063,3/8/2022,L8XR_220303_03_A01,10xMultiome;GEX,SI-TT-A1,3/3/2022,amplified_cdna,461,146.2833412,129.031611,Pass,L8XR_220303_03,5119.916942,1557.785929,A8XR_220301_01_F02,3/1/2022,129,9,Pass,1.014,A8XR_220301_01,1106_A04,"NHP_BG_Core_ROI
NHP_BG_Circuit","Core basal ganglia regions for basal ganglia circuit project, NHP, multiome.
All Basal ganglia circuit regions in non-human primates, multiome",10000,A04,16160,Multiome,"M1XM_220223_151-R_A01
M1XM_220223_151-A_A01",2/23/2022,"80% NeuN+, 15% OLIG2-, 5% OLIG2+",QN21.26.002.CX05.NAC.002_20220223,nan,Nuclei,QN21.26.002.CX05.NAC.002_Macaque-NAC,DHBA:10339,NCBITaxon:9545,UM1MH130981 - Ed Lein,nan,1,nan,Q21.26.002,11,years,birth,11 yrs,NCBITaxon:9545,Female,Macaque,NAC,,9/30/2024,9/26/2024,complete thru aliquot qc,BG_paper_Macaque,nemo-tmp-nac32w5-mtx-2063_240930,nac32w5,11/12/2024,10X genomics multiome;rnaseq,2025-01-25T02:08:43Z,0,JobId1665V4S5,aligned,MTX-2063_240930_nac32w5
